"Website","Emails"
"https://www.ikea.com/",""
"http://www.ikea.com/",""
"https://www.ikea.com/",""
"https://www.ikea.com/",""
"https://www.impress.biz/",""
"https://www.compensaticolorno.it/","info@compensaticolorno.it, info@compensaticolorno.it"
"https://www.emonzon.com/","Failed to retrieve"
"https://www.infoyma.com/","Failed to retrieve"
"https://www.infro.eu/","Failed to retrieve"
"https://www.inia.es/",""
"https://www.ihd-dresden.de/",""
"https://www.fcba.fr/",""
"https://www.napier.ac.uk/isc",""
"https://www.intasa.es/","Failed to retrieve"
"https://www.ivth.org/",""
"http://www.invernizzi-srl.com/","info@invernizzi-spa.com"
"https://www.bolderaja.lv/",""
"https://www.jollyboard.com/","jollyboard@jollyboard.com"
"https://www.joubert-group.com/",""
"https://www.kit.edu/","transcend-workshop@isi.fraunhofer.de, helga.lechner@kit.edu"
"https://%20www.ecose-technology.com/","Failed to retrieve"
"https://www.kohilavineer.ee/","info@kohilavineer.ee"
"https://www.koskisen.com/",""
"https://www.kronofrance.fr/","Failed to retrieve"
"Not available","No website available"
"https://www.novopan.dk/","Failed to retrieve"
"https://www.kronospan.bg/","Failed to retrieve"
"https://www.kronospan.cz/",""
"https://www.kronospan-express.com/",""
"https://www.kronospan.de/",""
"https://www.kronospan.co.uk/",""
"https://www.kronospan.es/",""
"https://www.kronospan.es/",""
"https://www.kronospan.pl/",""
"https://www.kronospan.ro/",""
"https://www.kronospan.lu/",""
"https://www.kronospan.de/",""
"https://www.kronospan-worldwide.com/","Failed to retrieve"
"https://www.kronospan-sas.fr/","Failed to retrieve"
"https://www.kronospansebes.ro/","Failed to retrieve"
"https://www.kronospan.pl/",""
"https://www.kronoukraine.com/","Failed to retrieve"
"https://www.kronospan.es/",""
"https://www.kronospan-mofa.hu/","Failed to retrieve"
"https://www.kronotex.com/","dehe.presse@swisskrono.com, socialmarketing.de@swisskrono.com"
"https://www.laboisserolle.com/",""
"https://www.laminatepark.de/","Failed to retrieve"
"https://www.finieris.com/","info@finieris.lv"
"https://www.lesonit.net/","info@lesonit.net"
"Not available","No website available"
"Not available","No website available"
"https://www.lumin.com/","PAUL.ODOMIROK@LUMIN.COM"
"https://www.kaindl.com/en/",""
"https://www.maderasdellodio/","Failed to retrieve"
"https://www.madetosa.es/","Failed to retrieve"
"https://www.malvaux.fr/","Failed to retrieve"
"https://www.marinochem.ie/","info@marinochem.ie"
"https://www.mdfosb.com/",""
"https://www.metadynea.com/",""
"https://www.kotkamills.com/",""
"https://www.munksjo.com/",""
"https://www.munzing.com/en/",""
"https://www.inl.ro/",""
"https://www.neufeldgroup.com.au/","Failed to retrieve"
"https://www.rheinspan.de/",""
"https://www.norbord.co.uk/",""
"https://www.norbord.co.uk/",""
"https://www.norbord.com/",""
"https://www.treteknisk.no/","firmapost@treteknisk.no, mb.19166@xledger.net"
"https://www.novolegno.it/","Failed to retrieve"
"https://www.rolpin.com/","Failed to retrieve"
"https://www.melaminebyoci.com%20-%20www.oci-global.com/","Failed to retrieve"
"https://www.omya.com/",""
"https://www.owi-lohr.de/","info@owi-lohr.de, info@owi-lohr.de"
"Not available","No website available"
"https://www.pagholz.de/",""
"https://www.panguaneta.com/","commerciale@panguaneta.com, sales@panguaneta.com, risorseumane@panguaneta.com, marketing@panguaneta.com, amministrazione@panguaneta.com, acquisti@panguaneta.com"
"https://www.panneauxdecorreze.fr/",""
"https://www.pavatex.fr/","Failed to retrieve"
"https://www.pavatex.ch/","Failed to retrieve"
"https://www.peri.de/","info@peri.de"
"https://www.pfeifergroup.com/","info@pfeifergroup.com"
"https://www.pfeifergroup.com/","info@pfeifergroup.com"
"https://www.pfleiderer.com/",""
"https://www.pfleiderer.pl/",""
"https://www.pfleiderer.com/",""
"https://www.pfleiderer.com/",""
"https://www.pfleiderer.com/",""
"https://www.pfleiderer.pl/",""
"https://www.sklejkapiotrkow.pl/","Failed to retrieve"
"http://www.prefere.com/",""
"https://qg-holzwerkstoffe.de/","info@qg-holzwerkstoffe.de"
"https://www.drouin.fr/","drouinsas@drouin.fr"
"https://www.rauchspan.de/","Failed to retrieve"
"https://www.finieris.lv/","info@finieris.lv"
"https://www.rougier.fr/",""
"https://www.saib.it/","info@saib.it, saib@legalmail.it"
"https://www.saiscompensati.com/","info@saiscompensati.com"
"https://www.sangiorgiospa.com/","s@sangiorgiospa.com"
"https://www.sasol.com/",""
"https://www.sauerland-spanplatte.de/",""
"https://www.egger.com/",""
"https://www.schattdecor.de/",""
"https://www.scheuch.com/",""
"https://www.technocell-dekor.com/","Failed to retrieve"
"https://www.vupc.sk/","Failed to retrieve"
"https://www.seconmed.es/","Failed to retrieve"
"Not available","No website available"
"https://www.sfc.com.tr/","Failed to retrieve"
"https://www.sia-abrasives.com/","sales.gb@sia-abrasives.com"
"https://www.siempelkamp.com/",""
"https://www.sklejukaeko.pl/","Failed to retrieve"
"https://www.sklejkaorzechowo.com.pl/","Failed to retrieve"
"Not available","No website available"
"https://www.mdfosb.com/",""
"https://www.solenis.com/",""
"https://www.sonaearauco.com/",""
"https://www.sonaearauco.com/",""
"https://www.sonaearauco.com/",""
"https://www.sonaearauco.com/",""
"https://www.sonaearauco.com/",""
"https://www.sonaearauco.com/",""
"https://www.sonaearauco.com/",""
"https://www.pavatex.de/","PAVATEX@SOPREMA.DE"
"https://www.sp.se/",""
"https://www.sauerland-spanplatte.de/",""
"Not available","No website available"
"https://www.steico.com/",""
"https://www.steico.com/",""
"https://www.steico.com/",""
"https://www.steico.com/",""
"https://www.steinemann.com/",""
"https://www.stuba.sk/",""
"https://www.sita.be/","Failed to retrieve"
"https://%20www.surfactor.com/","Failed to retrieve"
"https://www.surteco-decor.com/","Failed to retrieve"
"https://www.swisskrono.ua/","Failed to retrieve"
"https://www.kronospan.com/",""
"https://www.krono.com/","Failed to retrieve"
"https://info@swisskrono.hu/","Failed to retrieve"
"https://www.swisskrono.pl/","plza.sekretariat@swisskrono.com"
"https://www.s-w-l.com/",""
"https://www.tablicia.es/","Failed to retrieve"
"https://www.forte.com.pl/","infolinia@forte.com.pl"
"https://www.teilar.gr/",""
"https://www.wipltd.in/","westernply@gmail.com, westernply@gmail.com"
"https://www.thuenen.de/","info@thuenen.de"
"https://www.drevarskyustav.cz/",""
"https://www.tocchio.it/","info@tocchio.it.dgy-s2.it"
"https://www.tomra.com/",""
"https://www.accsysplc.com/",""
"https://www.grigeo.lt/",""
"https://www.ikea.com/",""
"https://www.unemsa.com/","Failed to retrieve"
"https://www.unilin.com/",""
"http://www.unilinpanels.com/",""
"https://www.unilin.com/",""
"https://www.uipc-contreplaque.fr/",""
"https://www.francamar.es/","Failed to retrieve"
"https://www.uni-hamburg.de/",""
"https://www.utisa.es/",""
"https://www.vdnr.net%20;%20www.holzfaser.org/","Failed to retrieve"
"https://www.vhi.de/","info@vhi.de"
"https://www.finieris.com/","info@finieris.lv"
"https://www.vyncke.com/","hello@vyncke.com"
"https://www.werzalit.com/","webshop@werzalit.com"
"https://www.westag-getalit.de/","Failed to retrieve"
"https://www.wilvaco.com/",""
"https://www.hfm.tum.de/",""
"https://www.sppd.pl/",""
"https://www.wpif.org.uk/","Failed to retrieve"
"https://www.wood.be/","alan@wood.be, alan@wood.be, susanna@wood.be, alan@wood.be, susanna@wood.be"
"https://www.xilopan.it/","Failed to retrieve"
"https://www.biaform.com.pl/","biaform@biaform.com.pl, biaform@biaform.com.pl, sklep@biaform.com.pl"
"https://www.zeller-gmelin.de/",""
